codigo,nombre_es,nombre_en,descripcion_en,simbolo,factor_conversion,nivel_categoria,categoria_es,estado
P68,,nanosievert per second,"0,000 000 001-fold of the derived SI unit sievert divided by the SI base unit second.",nSv/s,10⁻⁹ Sv/s,2.0,2.0,Vigente
P69,,rem per second,"Unit for the equivalent tin rate relating to DIN 1301-3:1979: 1 rem/s = 0,01 J/(kg·s) = 1 Sv/s.",rem/s,10⁻² Sv/s,2.0,2.0,Vigente
P7,,seven pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
P70,,sievert per hour,Derived SI unit sievert divided by the unit hour.,Sv/h,"2,777 78 × 10⁻⁴ Sv/s",2.0,2.0,Vigente
P71,,millisievert per hour,"0,001-fold of the derived SI unit sievert divided by the unit hour.",mSv/h,"0,277 777 778 × 10⁻⁷ Sv/s",2.0,2.0,Vigente
P72,,microsievert per hour,"0,000 001-fold of the derived SI unit sievert divided by the unit hour.",µSv/h,"0,277 777 778 × 10⁻¹⁰ Sv/s",2.0,2.0,Vigente
P73,,nanosievert per hour,"0,000 000 001-fold of the derived SI unit sievert divided by the unit hour.",nSv/h,"0,277 777 778 × 10⁻¹³ Sv/s",2.0,2.0,Vigente
P74,,sievert per minute,Derived SI unit sievert divided by the unit minute.,Sv/min,"0,016 666 Sv/s",2.0,2.0,Vigente
P75,,millisievert per minute,"0,001-fold of the derived SI unit sievert divided by the unit minute.",mSv/min,"1,666 666 667 × 10⁻⁵ Sv/s",2.0,2.0,Vigente
P76,,microsievert per minute,"0,000 001-fold of the derived SI unit sievert divided by the unit minute.",µSv/min,"1,666 666 667 × 10⁻⁸ Sv/s",2.0,2.0,Vigente
P77,,nanosievert per minute,"0,000 000 001-fold of the derived SI unit sievert divided by the unit minute.",nSv/min,"1,666 666 667 × 10⁻¹¹ Sv/s",2.0,2.0,Vigente
